LON,LAT,rx1day_5yr,rx1day_10yr,rx1day_25yr,rx1day_75yr,rx1day_100yr,rx1day_200yr,rx2day_5yr,rx2day_10yr,rx2day_25yr,rx2day_75yr,rx2day_100yr,rx2day_200yr,rx3day_5yr,rx3day_10yr,rx3day_25yr,rx3day_75yr,rx3day_100yr,rx3day_200yr,rx4day_5yr,rx4day_10yr,rx4day_25yr,rx4day_75yr,rx4day_100yr,rx4day_200yr,rx5day_5yr,rx5day_10yr,rx5day_25yr,rx5day_75yr,rx5day_100yr,rx5day_200yr,city,scenario,percentile,source_file
121.45,25.15,7.12163326,7.883414654,6.397818644,8.00816865,9.630111383,10.18021584,9.223929248,7.932295516,6.476010261,5.934317609,7.299951272,8.417874312,12.26278454,10.7397425,10.47039988,8.85074649,8.557089033,9.635205364,14.82307081,13.34210291,14.26908959,13.00663441,11.85822215,10.82741926,16.1326693,13.05761412,10.17689895,9.462308627,11.41690129,10.850955,臺北市,rcp45,25,IDF-CC_臺北市_暴雨改變率_rcp45_第25百分位.csv
121.45,25.1,8.333606,8.076572996,10.44271971,11.2000111,11.93496298,12.63298421,9.580064976,10.63039437,10.00923365,8.352852921,7.089851196,7.72914123,12.56436723,11.95424984,10.41773735,10.62574536,10.85208579,11.21358546,14.28211975,12.17957588,14.66777318,14.60710281,13.93716293,14.04862947,14.68809078,14.51385383,11.86251975,12.6201866,10.55546963,8.763779287,臺北市,rcp45,25,IDF-CC_臺北市_暴雨改變率_rcp45_第25百分位.csv
121.5,25.05,9.795151737,11.91906626,10.87394687,10.08837215,9.531258719,11.60789172,11.67981336,11.48637956,9.532103831,9.414628469,11.36339312,12.97421235,11.10629604,13.37697264,12.92406536,12.6639265,12.646314,12.27038765,9.9507924,11.55860924,12.86860883,14.51216461,13.47922783,12.03500509,10.18862504,12.47831665,11.5666937,14.17343693,13.0681142,12.14309365,臺北市,rcp45,25,IDF-CC_臺北市_暴雨改變率_rcp45_第25百分位.csv
121.5,25.15,3.597776122,1.758253264,2.831490443,2.173383049,1.20273461,0.682298041,7.451854712,4.385161748,2.976244333,0.19536991,-2.068680796,-3.941665812,9.044001116,5.479578738,1.839811647,0.189173006,-2.695857656,-5.111918009,9.588970618,8.868569093,5.957948773,3.050609004,-0.055338642,-2.720392779,11.07307204,8.803584317,7.116140379,4.841385188,2.841903428,1.177258567,臺北市,rcp45,25,IDF-CC_臺北市_暴雨改變率_rcp45_第25百分位.csv
121.5,25.1,8.540104006,8.923438466,10.23528917,11.53136472,12.74738404,13.87434062,10.68130438,12.04716906,10.68160704,10.69135596,11.01939703,11.70160089,12.61141495,13.46795394,10.82794272,10.73913899,12.84044706,12.9985503,11.87258487,12.52820552,14.90694558,15.37470743,14.94684254,14.59625848,12.10391022,14.31042711,12.76987027,11.66955035,10.64869236,9.451217661,臺北市,rcp45,25,IDF-CC_臺北市_暴雨改變率_rcp45_第25百分位.csv
121.5,25.2,5.443218776,4.685258069,4.277023711,3.609080676,1.10029748,0.272431296,7.367790082,4.586499755,1.503244052,-0.463790305,-1.792275026,-2.985912386,9.149909291,6.050436221,2.491314168,0.214567358,-1.861675512,-3.642793895,12.1840037,7.480650473,6.457644057,6.620186468,4.64099544,2.263471551,12.58906119,8.788962725,6.295327451,4.245462667,2.567687233,1.168027844,臺北市,rcp45,25,IDF-CC_臺北市_暴雨改變率_rcp45_第25百分位.csv
121.5,25.0,9.798300029,10.65703985,6.767057367,4.181825483,4.909024079,5.993354223,10.06837551,10.49772822,8.948619704,5.540936501,3.076325641,3.504011716,11.0983972,11.37559362,10.25912391,8.372150411,8.923734775,10.33344039,7.749751033,10.71571896,8.567777247,11.72432786,14.88935513,13.44603187,8.439859646,9.075230893,9.683483212,10.4850514,11.16427223,10.72679655,臺北市,rcp45,25,IDF-CC_臺北市_暴雨改變率_rcp45_第25百分位.csv
121.55,24.95,10.41474537,11.67498564,12.36178623,10.57251424,8.98647698,11.44603392,11.83584679,11.5323379,9.53720386,6.848188232,7.016363219,7.168055923,12.13981944,10.91858482,11.12836331,9.470098011,8.246058909,8.876902669,8.779845196,9.059839129,11.81130871,10.92338304,10.2361692,9.752324959,10.11968175,9.317396281,11.22002554,10.39078081,9.3245842,8.455048441,臺北市,rcp45,25,IDF-CC_臺北市_暴雨改變率_rcp45_第25百分位.csv
121.55,25.05,8.246795689,10.42155336,8.912974006,13.18085318,16.23170185,17.5468348,11.51477057,9.736778647,9.256209368,12.09752193,12.67502585,11.41224741,12.45070002,12.08055651,11.99065883,12.22579839,12.39139108,12.32027119,8.272687622,11.12160161,14.43516046,15.04855191,13.90038412,12.7525362,8.912072947,11.81327914,14.09476743,15.04492288,14.25592549,13.61659115,臺北市,rcp45,25,IDF-CC_臺北市_暴雨改變率_rcp45_第25百分位.csv
121.55,25.0,10.31312578,10.0545049,7.567174128,6.261935857,8.0071111,9.459974433,11.30797106,11.52869665,8.714551676,5.810761523,7.019349498,7.989190605,10.56619654,11.4794437,10.52279674,10.03414334,10.10442211,9.301046098,6.832011342,10.02741618,11.24078225,13.0940904,12.38276567,10.76963977,8.044767959,8.488461735,10.7013688,12.76953004,14.14596427,13.61528201,臺北市,rcp45,25,IDF-CC_臺北市_暴雨改變率_rcp45_第25百分位.csv
121.55,25.15,4.543367632,2.561205902,0.003107461,0.757309474,0.849255587,-1.905816746,9.138299943,2.807291599,1.819919445,0.62802527,-0.831624291,-1.030207531,8.158307396,2.417367232,0.920234325,0.025841378,0.082793714,0.124392368,5.117306941,5.371757461,4.016964994,1.487947541,-1.126935184,-1.485228193,7.547228846,6.084591559,2.924794034,1.760686132,0.2689118,-0.938999892,臺北市,rcp45,25,IDF-CC_臺北市_暴雨改變率_rcp45_第25百分位.csv
121.55,25.1,5.960061589,8.518505157,7.945744714,7.687352853,7.515111663,7.399950629,10.96292304,9.706887491,11.19048105,10.85897989,8.837074488,7.176476519,11.70469276,11.86903635,12.47614597,13.30465678,12.66782658,11.5589774,9.779825544,10.89632413,13.11490968,14.30145151,12.9672387,11.88533232,10.25283234,11.32865179,14.68547541,15.19788549,14.80392151,14.0483656,臺北市,rcp45,25,IDF-CC_臺北市_暴雨改變率_rcp45_第25百分位.csv
121.55,25.2,6.99129071,4.348453171,9.102657815,6.368690158,5.893108607,7.372524387,10.28214263,3.219113131,2.047387835,1.899910207,0.22170362,-1.179707606,9.449117889,4.239187393,1.954204225,1.985099172,-1.843512776,-3.955835831,9.377392483,5.644127645,4.601735509,4.310825904,4.179492782,4.141942829,10.53684341,7.387470633,4.30578238,3.129778862,2.23016224,1.514918635,臺北市,rcp45,25,IDF-CC_臺北市_暴雨改變率_rcp45_第25百分位.csv
121.6,24.95,10.08445807,10.57742662,9.049277514,10.22667749,11.61036108,11.97475169,10.94597025,10.30305414,9.209811958,8.031462904,7.193765773,6.570998099,11.93971737,9.368468887,9.97210175,9.08599359,9.246715102,9.435602626,10.60096844,9.952448573,11.14453741,10.80821666,10.46697416,10.30583523,11.54116167,9.550647411,11.04119393,9.591695626,8.816613029,8.212226828,臺北市,rcp45,25,IDF-CC_臺北市_暴雨改變率_rcp45_第25百分位.csv
121.6,25.05,8.153715477,7.45262516,10.38875977,11.19489426,11.90105419,12.52184412,9.072549063,9.128175305,8.245796764,6.634556179,5.393911773,4.405667689,10.79743853,8.572623612,9.204946797,7.724153751,7.350727535,5.417967357,9.142888462,10.55892071,12.16035804,12.01416667,10.72468524,9.105938913,8.970676666,10.33058649,12.75626198,11.85768542,11.19369501,10.68239601,臺北市,rcp45,25,IDF-CC_臺北市_暴雨改變率_rcp45_第25百分位.csv
121.6,25.0,10.18030947,8.439589103,8.561558607,11.41975859,13.78221368,15.77958432,10.26086608,9.403061656,8.591179834,6.491856211,4.838049738,3.496924485,11.52067799,9.282840941,8.738669152,8.214554167,8.074423109,8.015093911,8.290821235,9.525699106,11.62746454,12.82172525,13.42971743,13.40154477,8.676132132,11.12287076,13.23588084,12.80337064,12.28763245,11.90836912,臺北市,rcp45,25,IDF-CC_臺北市_暴雨改變率_rcp45_第25百分位.csv
121.6,25.15,5.41993057,4.604117197,4.368827988,3.039311447,4.432074635,2.121373893,8.287581017,4.993268421,2.110179193,0.977716805,-0.816443206,-2.323920849,6.940191704,1.1478335,0.615455221,-0.991281128,-1.102196445,-1.17083804,8.039833286,4.359005004,3.385617337,3.031913385,1.46983432,-0.244754114,9.772803849,6.076479801,1.986982292,-0.645108472,-2.824532879,-4.638390913,臺北市,rcp45,25,IDF-CC_臺北市_暴雨改變率_rcp45_第25百分位.csv
121.6,25.1,7.841130739,5.640126711,5.145559525,4.877941889,4.667177883,4.496091137,10.00097868,8.520467961,6.46203754,4.904285629,3.609912738,2.518163026,10.54458018,6.66480474,6.368552849,3.908907911,1.021488793,-1.421503355,9.2922246,9.872080368,8.058485286,5.321257919,3.475602555,2.001493824,9.337406374,8.530253676,9.688696058,7.664838899,6.011969991,4.636726961,臺北市,rcp45,25,IDF-CC_臺北市_暴雨改變率_rcp45_第25百分位.csv
121.6,25.2,9.084597199,5.205215971,7.413657988,8.297789156,7.41315636,6.595346468,7.601422349,3.962455612,-1.977949608,-0.449135201,-1.369792157,-3.811331319,8.120737651,1.866515978,-0.483770334,-0.25552256,-0.790623978,-3.079456241,10.07153219,5.417160177,2.31764248,2.09764114,1.1703378,0.409572436,10.5889463,6.71514501,3.0404482,0.798039853,-0.944219792,-2.458448786,臺北市,rcp45,25,IDF-CC_臺北市_暴雨改變率_rcp45_第25百分位.csv
121.65,25.05,7.560583133,5.365356719,6.820317038,5.221537269,3.700069531,2.269278006,7.347481052,3.552829509,1.365687409,-1.881941122,-3.791077397,-5.097663397,7.184902505,3.444211981,0.901739617,-0.152289372,-0.385002408,-0.588976203,9.886364558,6.901262841,6.055903704,5.365400732,4.90016236,4.576054009,9.952933153,8.18377233,5.959070589,4.559402033,3.490821373,2.642482568,臺北市,rcp45,25,IDF-CC_臺北市_暴雨改變率_rcp45_第25百分位.csv
121.65,25.1,5.956840186,6.940051976,8.369885855,8.741548644,6.910161388,5.979609998,7.360001228,2.772914735,2.003014354,-1.12813085,-4.16663871,-6.072594671,6.063310285,0.669682459,-0.307908649,-0.883428339,-1.341843635,-1.447513167,8.425120691,4.549744741,2.728202143,1.863697137,1.242450337,0.778059798,9.436878425,7.162093325,3.532818375,0.949897997,-1.124426583,-2.829661458,臺北市,rcp45,25,IDF-CC_臺北市_暴雨改變率_rcp45_第25百分位.csv
121.65,25.0,8.913157509,7.244902294,10.18387431,9.801658121,9.062986927,8.311546064,8.265857557,7.743589138,7.156344087,6.789233714,6.475901336,6.205847386,8.506716619,6.608572724,5.257120272,5.1261476,5.151498337,3.754987053,9.258677939,9.596937603,10.75024693,9.802517998,9.716156247,9.72716172,8.98213925,9.424722805,9.444342705,8.447680555,7.727416121,7.184675447,臺北市,rcp45,25,IDF-CC_臺北市_暴雨改變率_rcp45_第25百分位.csv
121.45,25.1,18.27841751,21.24958818,24.31427037,24.73009159,26.43472501,27.88612997,18.34688118,19.39606907,20.58654703,21.60203108,22.60310514,23.55677289,21.87093247,22.27719697,20.72315679,20.66543545,21.83431136,23.32577411,24.57994562,23.64042639,22.39894636,21.74689642,22.02664483,22.79350355,23.71439169,24.50301134,24.30837214,22.91850699,21.21981896,22.17822967,臺北市,rcp45,50,IDF-CC_臺北市_暴雨改變率_rcp45_第50百分位.csv
121.45,25.15,17.77537639,21.34984268,24.04672392,23.74132302,24.33215817,25.43669393,19.0895701,18.9297717,19.58063884,19.8979759,20.0832084,20.18615591,22.3925735,21.41322119,21.14290395,23.35981486,23.52599031,25.09615149,25.71309313,23.11296977,20.29552848,18.5585869,19.52037157,21.2921956,23.76910986,19.25278501,20.17772158,22.6650774,22.480888,21.59295289,臺北市,rcp45,50,IDF-CC_臺北市_暴雨改變率_rcp45_第50百分位.csv
121.5,25.05,19.28403968,23.90750691,28.09964861,28.28331514,30.44359393,32.45687821,20.27861967,19.66039746,21.45744438,24.1557935,28.26800753,27.3809155,22.74341388,27.00583153,27.41993132,27.26112318,27.89147042,27.71400701,22.80604967,27.2233932,25.11107467,28.42948787,26.24541059,26.92969394,24.52473629,26.98727415,25.60225228,24.33572558,26.85937757,25.28801897,臺北市,rcp45,50,IDF-CC_臺北市_暴雨改變率_rcp45_第50百分位.csv
121.5,25.1,20.28925177,23.69223403,25.97322155,27.3423673,28.50599754,29.40747637,19.06393587,20.56221918,20.98663176,21.84917671,23.10185734,25.38457206,21.57620128,22.62339693,22.19056586,25.16670773,27.69529337,28.6909407,24.31367197,24.8988371,24.62673609,25.58379121,27.90305421,28.04484952,23.41367719,25.02087232,24.43778237,23.75916855,24.6544473,26.58526891,臺北市,rcp45,50,IDF-CC_臺北市_暴雨改變率_rcp45_第50百分位.csv
121.5,25.15,17.44821479,19.4451471,23.76621053,23.60404593,23.14521875,23.94458272,17.00489163,20.04151219,16.11817406,14.67722575,12.54629317,12.3961758,20.49573521,20.02888219,18.0847834,16.59017032,15.19195862,13.91415242,20.56686209,18.47260736,15.88969083,19.86545785,21.58652754,19.72648322,23.99885145,18.83679078,16.62198174,18.11412782,20.49233604,21.00779491,臺北市,rcp45,50,IDF-CC_臺北市_暴雨改變率_rcp45_第50百分位.csv
121.5,25.0,17.6308484,21.89112244,26.47971294,29.30986492,30.96712432,32.79156121,20.78308798,21.00086233,20.23429614,22.87987994,24.57868147,23.85831305,22.91913657,24.28790509,24.66598445,25.88861268,24.73680037,25.34244904,23.79615022,24.35632273,25.40417136,24.81551657,23.02230241,23.06022237,23.60672588,27.13205811,27.15561938,27.13854056,27.12040213,27.06238216,臺北市,rcp45,50,IDF-CC_臺北市_暴雨改變率_rcp45_第50百分位.csv
121.5,25.2,16.47775108,18.01628577,19.62688887,20.89795133,22.09843887,23.21656992,16.96901428,21.42009239,17.22936721,16.30508298,17.97611313,16.38762899,18.11566361,18.95929832,21.35688649,19.50781662,21.2373754,20.44266764,21.93741319,20.07367997,18.04355534,21.30607491,24.21258442,26.83050987,22.42235317,20.67748148,18.24965797,18.51933442,18.21401314,18.05263971,臺北市,rcp45,50,IDF-CC_臺北市_暴雨改變率_rcp45_第50百分位.csv
121.55,24.95,17.98339297,22.27551354,24.7001377,25.36366498,27.68578406,28.89943384,20.15699546,18.76116321,20.27729705,21.39753687,20.65651891,21.41004464,22.15943342,23.35619204,22.15070162,24.9848931,25.24427064,24.03872835,22.01435592,25.13490038,25.100647,25.06701003,24.88561047,24.7149044,21.6814963,23.85124647,25.1989054,27.36451186,26.88690985,26.42533786,臺北市,rcp45,50,IDF-CC_臺北市_暴雨改變率_rcp45_第50百分位.csv
121.55,25.05,20.17946501,25.03729946,26.45948587,25.67562458,26.86444573,29.50240491,19.08253641,19.49999555,22.67693461,24.33069336,24.15011489,24.53323236,23.07317447,22.30165276,22.19602751,23.41919381,23.77607671,22.89342993,22.96142118,23.34874085,24.30766524,23.93642356,24.21713729,24.59541566,23.82234525,25.62815274,23.99595975,24.15226407,23.73514971,24.73108703,臺北市,rcp45,50,IDF-CC_臺北市_暴雨改變率_rcp45_第50百分位.csv
121.55,25.1,19.38827639,23.48270667,24.33870548,24.81413671,25.19870303,25.51956307,18.90802059,18.50037665,18.20868448,21.77279309,22.87826993,20.95487166,23.25863732,20.57455951,24.48502751,23.55460568,21.15689979,20.74678149,22.61376481,22.88402585,25.36684368,24.27501196,22.95630585,24.48611552,25.38698529,24.31655916,22.86740515,22.73960569,23.2434038,26.61053681,臺北市,rcp45,50,IDF-CC_臺北市_暴雨改變率_rcp45_第50百分位.csv
121.55,25.15,14.26427609,19.59785075,20.44452447,19.96737398,20.64532072,21.1554464,18.05616525,19.15461557,15.39285272,18.64501304,20.08140642,20.48508473,17.72701387,15.3583145,14.5274197,15.69340896,16.01427769,16.57219525,18.06142833,18.0654344,14.88626699,16.78641462,21.56167013,19.93758275,22.48689366,19.86800329,17.68626006,20.08976868,20.73309101,19.03399064,臺北市,rcp45,50,IDF-CC_臺北市_暴雨改變率_rcp45_第50百分位.csv
121.55,25.0,19.32073252,24.11107589,26.80564374,28.29682849,33.05734671,35.75838483,20.17684381,19.20540765,20.26993714,22.29852801,21.51050139,22.2717937,22.88698672,22.23908746,21.54301737,21.52884968,22.29595569,20.98899569,23.16841403,23.5550526,24.19754758,24.67139732,24.68527737,23.04461927,23.49535563,26.55773342,26.68043561,26.45609734,26.14032234,25.79610104,臺北市,rcp45,50,IDF-CC_臺北市_暴雨改變率_rcp45_第50百分位.csv
121.55,25.2,14.45483475,18.3567898,22.40360252,22.45687988,21.54682227,24.40519407,15.63387963,19.32882782,21.15730381,22.55762021,23.87795859,23.40972614,18.52690069,18.67409371,23.82763582,21.53887984,22.83411262,24.03948788,20.26072558,22.00526891,21.88644487,25.29640911,27.17090705,25.63251176,20.22555804,20.25639538,21.80395085,25.01006209,27.664322,28.29311047,臺北市,rcp45,50,IDF-CC_臺北市_暴雨改變率_rcp45_第50百分位.csv
121.6,24.95,18.04592639,20.93135804,24.49334072,26.02570391,26.63043462,27.61779546,19.07910533,18.36906293,19.78201856,20.1258319,21.11345688,19.31895354,20.90496941,21.68349745,20.33376183,23.86660695,22.19970881,22.86757513,22.08417247,24.96353153,23.88059412,24.47889951,25.29181578,25.67573358,23.54808271,25.3933652,27.63934679,28.80408979,28.42123837,28.1019574,臺北市,rcp45,50,IDF-CC_臺北市_暴雨改變率_rcp45_第50百分位.csv
121.6,25.05,16.62738503,22.91457332,23.08254074,25.50628241,27.65301929,29.09568493,17.26165957,18.92581306,17.17677491,19.87461225,20.23990029,22.51054969,20.93083857,18.8428158,18.61519401,18.02299776,19.15674901,18.56373036,21.50680458,24.3985768,21.52823153,19.45143905,20.82897361,20.37251408,24.00873967,24.54513425,21.88494798,22.33368399,24.86845504,25.81217456,臺北市,rcp45,50,IDF-CC_臺北市_暴雨改變率_rcp45_第50百分位.csv
121.6,25.1,18.0717204,22.74409515,23.15099904,21.36348428,22.35183261,25.27728324,15.85547618,19.25782113,14.33928024,16.87631901,19.31083744,21.33016328,19.73557016,20.09895056,18.26071361,17.14742078,16.21875606,15.43390959,20.40399589,19.94290871,18.29175709,19.54721011,20.8725721,20.23882147,23.23969075,20.20729865,20.38129551,23.28832147,23.63082822,24.28823481,臺北市,rcp45,50,IDF-CC_臺北市_暴雨改變率_rcp45_第50百分位.csv
121.6,25.15,13.74290257,17.94470921,21.91000057,22.51076412,22.45375545,24.48156707,14.98987022,17.44058905,20.11672603,21.57665951,20.25849735,19.02025095,17.95312041,16.71454959,17.56110202,17.88388089,18.73614424,18.93488956,17.69302148,19.98706937,17.76033302,19.85159067,21.66569006,20.96521401,19.01876344,20.38343799,19.9991954,18.94334213,23.2086038,21.98565767,臺北市,rcp45,50,IDF-CC_臺北市_暴雨改變率_rcp45_第50百分位.csv
121.6,25.0,15.46977896,22.01649378,25.20920112,27.54102443,30.54926287,32.83302506,18.3446817,18.92311051,18.23720252,21.39970284,20.73173668,18.68348494,21.47868502,20.42987198,18.15019485,19.20531867,18.80902945,19.89790196,21.51037099,24.1606674,23.26206405,22.68990583,22.20362529,21.91726288,24.6228582,24.55483818,23.0453989,24.05742121,23.52610058,25.4745736,臺北市,rcp45,50,IDF-CC_臺北市_暴雨改變率_rcp45_第50百分位.csv
121.6,25.2,15.19359465,19.90490185,19.70441092,21.29256687,19.70879387,19.87129847,16.4348218,18.26424016,17.26558391,18.51741625,19.53119959,20.37443658,17.32458921,19.40001306,21.94665204,18.58262248,15.83599813,14.75375143,16.89079481,19.57265529,22.62785044,24.7782104,25.32251991,24.05302217,16.25332268,19.32392435,25.45328132,24.05369716,21.97017394,22.15252043,臺北市,rcp45,50,IDF-CC_臺北市_暴雨改變率_rcp45_第50百分位.csv
121.65,25.05,14.78190223,18.39683541,25.45260507,25.0427768,24.33297596,27.89310989,16.41784738,18.89038363,16.43975438,16.06397188,17.98790359,21.9826247,17.67021296,18.35532298,17.8327494,17.82733041,18.79957692,18.7789956,21.07852565,18.16584826,18.13240883,19.66359869,20.83440031,21.19288807,21.90192757,19.62900302,20.29237445,22.29730253,23.98625195,23.43386793,臺北市,rcp45,50,IDF-CC_臺北市_暴雨改變率_rcp45_第50百分位.csv
121.65,25.1,13.20459102,17.46247513,23.22472936,24.32494859,25.77086437,26.86864292,14.21753163,17.09594439,17.2391581,18.93355975,19.42375968,19.86846619,16.55459587,16.66217974,16.59668772,16.11935195,16.71782551,15.37979796,18.18490827,17.69799836,17.25546196,16.77272594,16.34011386,17.09080688,18.89555695,18.12491227,22.3341558,19.98156485,22.17027799,21.21819536,臺北市,rcp45,50,IDF-CC_臺北市_暴雨改變率_rcp45_第50百分位.csv
121.65,25.0,15.43124736,20.2543279,23.93208101,26.04266082,25.71895464,29.45833205,18.00905349,19.92868685,16.42257203,18.05552592,18.78736633,19.23599228,17.85117057,17.72298637,19.93945333,21.57887977,20.65749299,19.10503852,21.38174997,20.91433396,19.85080939,19.49910685,19.18289308,20.25963091,22.83116342,24.30184448,22.18039684,24.18656028,26.67522511,27.14642689,臺北市,rcp45,50,IDF-CC_臺北市_暴雨改變率_rcp45_第50百分位.csv
121.45,25.1,-0.135294303,-1.083951002,-2.20694078,-2.014690906,-2.255965015,-2.961391379,-2.041253092,0.087827181,-0.503997116,-2.957833621,-5.074822472,-6.929917796,-4.180373008,-2.233274635,-5.324646891,-8.235218479,-11.06340101,-13.45007383,-3.869855172,-4.828712233,-9.331961808,-12.41365668,-15.27496645,-17.6720046,-2.502981924,-3.39147929,-6.940089757,-10.97902417,-14.27925758,-17.04030561,臺北市,rcp45,5,IDF-CC_臺北市_暴雨改變率_rcp45_第5百分位.csv
121.45,25.15,-2.026645396,-1.775020411,-1.714865051,-2.417627892,-4.295014586,-5.955360074,-2.51493172,-0.390774024,-3.218422065,-6.215635238,-8.921930812,-11.21185702,-5.482175618,-4.535112902,-7.394979984,-11.00203621,-14.13972461,-16.77322065,-3.231241081,-5.56246714,-10.31626912,-13.1905077,-15.88112109,-18.14248917,-1.904445547,-4.335887422,-8.080626075,-12.07110357,-15.32271757,-18.03804486,臺北市,rcp45,5,IDF-CC_臺北市_暴雨改變率_rcp45_第5百分位.csv
121.5,25.05,-1.537907753,-2.620096159,-6.820664668,-9.246337209,-11.11818021,-12.67183832,-0.140687337,2.287322162,-1.641159891,-4.552430361,-7.087400474,-9.31438044,-2.551181425,-1.457358364,-5.757472772,-8.289755297,-10.39415881,-12.17853978,-3.763991452,-5.039819298,-10.45529374,-14.26558687,-17.29488559,-19.4212995,-3.530215358,-5.231291693,-11.72709964,-14.84808318,-17.50770997,-19.81500989,臺北市,rcp45,5,IDF-CC_臺北市_暴雨改變率_rcp45_第5百分位.csv
121.5,25.1,-0.387583828,-1.462674112,-1.14024885,-3.303301201,-5.209165869,-6.849940192,-1.028257035,0.332552307,-3.147724445,-5.651996415,-7.80367229,-9.68106807,-3.119313922,-3.236278018,-7.712445887,-10.33913114,-12.52474698,-14.3834538,-3.852538958,-6.870553013,-11.86247594,-14.37281258,-15.96291222,-17.3293199,-3.176841134,-6.181502894,-10.19180602,-11.73262398,-13.33817051,-15.87850473,臺北市,rcp45,5,IDF-CC_臺北市_暴雨改變率_rcp45_第5百分位.csv
121.5,25.15,-3.934947342,-5.287505488,-7.835689735,-9.148963036,-11.23539043,-13.07234555,-2.748296966,-3.235799728,-8.687657176,-11.87155155,-14.7849175,-17.39105813,-5.709231322,-7.770789594,-13.51033568,-16.66774426,-18.81977147,-20.67795521,-6.493589718,-10.13958735,-13.63736917,-16.43349126,-18.97714183,-21.16164229,-6.031598929,-10.33070889,-12.87336299,-16.07698966,-18.77636756,-21.09200329,臺北市,rcp45,5,IDF-CC_臺北市_暴雨改變率_rcp45_第5百分位.csv
121.5,25.2,-3.187550145,-1.9502839,-5.485497321,-7.705681694,-9.629404463,-11.31895222,-3.101932774,-3.939983304,-8.755723068,-12.6798406,-15.86056328,-18.50237687,-6.247728702,-7.659640687,-12.11212806,-16.5390702,-20.07893243,-22.40739883,-7.136286428,-8.960171525,-12.89377346,-15.59142772,-18.11487473,-20.28284467,-6.310286235,-10.3173761,-12.75030493,-16.084415,-18.89124828,-21.29534159,臺北市,rcp45,5,IDF-CC_臺北市_暴雨改變率_rcp45_第5百分位.csv
121.5,25.0,-3.530718012,-4.719577379,-8.463031222,-11.07342216,-13.15623419,-14.86868199,-1.178303707,-0.998933506,-4.295496422,-7.555430152,-10.75878016,-13.53824651,-3.446795889,-2.747270417,-7.88587616,-10.92813665,-13.44022064,-15.55873432,-4.441463398,-5.333533091,-11.32471382,-15.38674707,-18.74129665,-21.57198123,-4.414171508,-6.406873685,-13.53573538,-17.61397159,-20.70146995,-23.36407513,臺北市,rcp45,5,IDF-CC_臺北市_暴雨改變率_rcp45_第5百分位.csv
121.55,24.95,-2.302198279,-2.744336046,-5.849862928,-8.353625502,-10.41739355,-12.16325974,-3.633226584,-2.774473727,-2.783983491,-4.421390807,-6.766023612,-8.912476013,-5.366379572,-3.342316445,-5.00664932,-6.374725629,-7.511336549,-8.4755428,-6.451124317,-6.687481537,-10.06405336,-11.99144193,-14.41424481,-16.55289082,-6.309731736,-8.336019506,-11.9592915,-15.82294765,-18.84987295,-21.14360427,臺北市,rcp45,5,IDF-CC_臺北市_暴雨改變率_rcp45_第5百分位.csv
121.55,25.05,-2.88471258,-4.007088266,-9.430575059,-12.10594201,-14.14238134,-15.84563395,-0.011809894,-0.044124778,-4.137361423,-7.353293544,-10.24309982,-12.8722072,-2.375340912,-4.140923579,-8.394223336,-10.85231642,-13.13007568,-15.5819482,-3.880527571,-8.266106787,-13.25697081,-16.34338343,-18.96329134,-21.20546926,-3.845629491,-8.734917826,-13.09251684,-16.4286245,-19.23878623,-21.65068943,臺北市,rcp45,5,IDF-CC_臺北市_暴雨改變率_rcp45_第5百分位.csv
121.55,25.1,-3.203855093,-3.983452131,-8.460645083,-10.93616837,-12.82294944,-14.49098398,-0.598097274,-2.080485888,-6.258314407,-8.747122084,-10.83590997,-12.62421093,-2.17619177,-6.307083613,-11.44754505,-14.37216073,-16.75236275,-19.01700565,-4.114709058,-10.49245983,-14.39253318,-16.50529254,-19.2296339,-21.55398445,-5.16966757,-10.7710827,-13.30075283,-16.45707254,-19.31160451,-21.74942676,臺北市,rcp45,5,IDF-CC_臺北市_暴雨改變率_rcp45_第5百分位.csv
